Title,Author,State,District,Date of Challenge/Removal,Banned Status,Ban Origin
Almost Perfect,"Katcher, Brian",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Almost Perfect,"Katcher, Brian",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Almost Perfect,"Katcher, Brian",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
Almost Perfect,"Katcher, Brian",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Alt Ed,"Atkins, Catherine",Florida,Clay County School District,Sep-22,Banned Pending Investigation,Formal Challenge
America,"Frank, E. R.",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
America,"Frank, E. R.",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
American Born Chinese,"Yang, Gene Luen",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
American Panda,"Chao, Gloria",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
American Psycho,"Ellis, Bret Easton",Florida,Santa Rosa County District Schools,Jun-23,Banned from Libraries and Classrooms,Formal Challenge
Americanah,"Adichie, Chimamanda Ngozi",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Ana on the Edge,"Sass, A. J.",Florida,The School District of Palm Beach County,Jul-22,Banned from Libraries,Legislative Action
Anatomy of a Single Girl,"Snadowsky, Daria",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Ancient Assyria,"Tracy, Kathy",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
And Tango Makes Three,"Richardson, Justin",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
And Tango Makes Three,"Richardson, Justin",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
And Tango Makes Three,"Richardson, Justin",Florida,Highlands Schools,Sep-22,Banned Pending Investigation,Informal Challenge
And Tango Makes Three,"Richardson, Justin",Florida,Lake County Schools,Fall 2022,Banned Pending Investigation,Legislative Action
Angel,"Patterson, James",Florida,Martin County Schools,Feb-23,Banned from Libraries,Formal Challenge
Angel of Greenwood,"Pink, Randi",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Angus, Thongs and Full-Frontal Snogging","Rennison, Louise",Florida,Clay County School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
"Angus, Thongs and Full-Frontal Snogging","Rennison, Louise",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Animals of the Bible,"Fish, Helen Dean",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari",Florida,Indian River County Schools,Mar-23,Banned from Libraries and Classrooms,Formal Challenge
Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari",Florida,The School District of Palm Beach County,Jul-22,Banned Pending Investigation,Legislative Action
Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari",Florida,Volusia County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
Anne Hutchinson,"Aller, Susan Bivin",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Another Day,"Levithan, David",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Antiracist Baby,"Kendi, Ibram X.",Florida,Clay County School District,Jul-22,Banned from Libraries and Classrooms,Formal Challenge
Any Way the Wind Blows,"Rowell, Rainbow",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Aristotle and Dante Discover the Secrets of the Universe,"Sáenz, Benjamin Alire",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Ask the Passengers,"King, A. S.",Florida,Clay County School District,Sep-22,Banned Pending Investigation,Formal Challenge
Ask the Passengers,"King, A. S.",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
Ask the Passengers,"King, A. S.",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Asking for It,"O'Neill, Louise",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
"Assassination Classroom, Vol. 1","Matsui, Yūsei",Florida,Escambia County Public Schools,Feb-23,Banned Pending Investigation,Formal Challenge
"Assassination Classroom, Vol. 1","Matsui, Yūsei",Florida,Orange County Public Schools,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 1","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 10","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 11","Matsui, Yūsei",Florida,Indian River County Schools,Mar-23,Banned from Libraries and Classrooms,Formal Challenge
